               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11207,            0.027913,            0.064306,            0.001018,             0.30636,           0.0015989,          0.00037989,            0.088119,            0.023665,            0.053182,              0.0766,              0.0026,              0.0026
                   1,             0.09061,            0.027617,            0.059316,           0.0022102,             0.59804,           0.0056641,           0.0012426,            0.067949,            0.022501,            0.050599,            0.052248,           0.0052475,           0.0052475
                   2,            0.083336,            0.026131,            0.054756,           0.0026796,             0.73728,           0.0089724,           0.0019147,            0.067878,            0.019681,            0.048116,            0.027842,           0.0078416,           0.0078416
                   3,            0.081497,            0.024177,            0.051779,            0.002721,             0.73089,            0.017557,           0.0035253,            0.068347,            0.017002,            0.045381,            0.009703,            0.009703,            0.009703
                   4,            0.080251,            0.023899,            0.050082,           0.0016747,             0.44492,              0.0105,           0.0023597,            0.070815,            0.014806,            0.043367,            0.009703,            0.009703,            0.009703
                   5,            0.075476,            0.022881,            0.049588,            0.022299,             0.67245,             0.13508,            0.043184,            0.055844,             0.01663,            0.042305,            0.009604,            0.009604,            0.009604
                   6,            0.072753,            0.024474,            0.050722,           0.0094119,             0.29822,            0.039221,            0.013406,             0.07101,            0.012944,            0.041531,            0.009505,            0.009505,            0.009505
                   7,            0.067732,            0.025883,            0.049386,             0.63079,             0.16766,             0.16907,            0.053038,            0.046183,            0.015753,            0.040977,            0.009406,            0.009406,            0.009406
                   8,            0.063483,            0.024141,            0.050302,              0.6522,             0.10597,             0.14185,            0.045836,            0.051229,            0.014886,            0.040337,            0.009307,            0.009307,            0.009307
                   9,            0.060255,            0.023546,            0.045942,             0.80024,            0.095833,            0.096681,            0.035747,            0.051454,            0.013541,            0.039223,            0.009208,            0.009208,            0.009208
                  10,            0.064351,            0.021242,            0.047553,              0.8066,             0.11446,              0.1587,             0.05336,            0.046991,            0.013718,            0.038334,            0.009109,            0.009109,            0.009109
                  11,            0.061157,            0.023364,            0.045715,             0.84524,             0.13681,             0.22694,             0.08552,            0.044894,            0.014248,            0.037881,             0.00901,             0.00901,             0.00901
                  12,            0.062014,            0.021156,            0.046072,             0.95587,            0.063704,             0.19747,            0.071539,            0.041822,            0.014354,              0.0371,            0.008911,            0.008911,            0.008911
                  13,            0.053456,            0.022276,            0.044894,             0.81575,             0.17431,             0.25874,            0.096417,            0.043145,            0.013067,            0.036774,            0.008812,            0.008812,            0.008812
                  14,            0.056335,            0.018938,            0.044139,             0.71092,             0.21964,             0.12826,            0.043025,            0.044235,            0.012704,            0.036147,            0.008713,            0.008713,            0.008713
                  15,            0.055714,              0.0201,            0.041906,             0.70044,             0.18886,             0.21214,            0.082108,            0.040701,            0.012822,            0.035496,            0.008614,            0.008614,            0.008614
                  16,            0.050611,            0.020364,            0.043615,             0.65454,              0.2625,             0.21286,            0.078516,            0.040804,            0.011955,             0.03452,            0.008515,            0.008515,            0.008515
                  17,            0.051251,             0.01919,            0.040412,              0.4833,             0.29712,             0.25872,            0.090614,            0.040551,            0.011527,            0.033498,            0.008416,            0.008416,            0.008416
                  18,            0.051909,            0.019167,            0.042047,             0.20719,             0.37113,             0.34634,             0.16099,            0.034446,            0.011518,            0.033335,            0.008317,            0.008317,            0.008317
                  19,            0.045839,            0.019016,             0.03996,             0.30749,             0.44311,             0.37801,             0.16838,            0.039244,             0.01063,            0.032641,            0.008218,            0.008218,            0.008218
                  20,            0.049871,             0.01942,            0.040875,             0.31073,             0.40044,             0.32615,             0.14485,            0.045573,           0.0098503,            0.032139,            0.008119,            0.008119,            0.008119
                  21,              0.0526,            0.016043,            0.041771,             0.46801,             0.43906,             0.43895,             0.20765,            0.031545,             0.01053,            0.031867,             0.00802,             0.00802,             0.00802
                  22,            0.047601,             0.01815,            0.039276,             0.45389,             0.41806,              0.3843,             0.16019,            0.041122,            0.009694,            0.031326,            0.007921,            0.007921,            0.007921
                  23,            0.045965,            0.016711,            0.038765,             0.42076,             0.46539,             0.38651,             0.17495,            0.035465,            0.009776,            0.031087,            0.007822,            0.007822,            0.007822
                  24,            0.049229,            0.017205,            0.039907,             0.49777,             0.45182,             0.46334,             0.20899,            0.033752,           0.0096559,            0.030833,            0.007723,            0.007723,            0.007723
                  25,            0.049827,            0.015914,            0.037979,             0.55178,             0.43207,             0.48095,             0.22144,            0.036205,           0.0095093,            0.030037,            0.007624,            0.007624,            0.007624
                  26,            0.043957,            0.015984,            0.037617,             0.59189,             0.48932,             0.54192,             0.30613,            0.031045,           0.0093436,             0.02937,            0.007525,            0.007525,            0.007525
                  27,            0.044253,            0.015707,            0.036585,              0.5371,             0.49897,             0.49113,             0.27224,            0.034171,           0.0090769,            0.029207,            0.007426,            0.007426,            0.007426
                  28,            0.047292,            0.015071,            0.035899,             0.65126,              0.5131,             0.55715,             0.33235,            0.029636,           0.0088168,            0.028457,            0.007327,            0.007327,            0.007327
                  29,            0.040555,            0.015412,            0.032996,             0.61911,             0.49479,             0.53513,              0.2864,            0.031599,           0.0085492,            0.028096,            0.007228,            0.007228,            0.007228
                  30,            0.045518,            0.015655,             0.03582,             0.55885,             0.54008,             0.58998,             0.34192,             0.03158,           0.0085523,            0.027475,            0.007129,            0.007129,            0.007129
                  31,            0.048309,            0.014715,            0.034213,              0.5385,              0.6131,             0.58395,             0.31752,            0.031285,            0.008489,            0.026833,             0.00703,             0.00703,             0.00703
                  32,            0.043571,             0.01408,            0.034625,             0.59273,             0.59872,             0.60087,             0.32911,            0.037339,           0.0082157,            0.026231,            0.006931,            0.006931,            0.006931
                  33,             0.04455,            0.014783,            0.032797,             0.66415,             0.59666,             0.68375,             0.33534,            0.034322,           0.0083338,            0.025256,            0.006832,            0.006832,            0.006832
                  34,             0.04226,            0.014278,            0.032058,             0.70137,             0.57437,             0.69643,             0.41224,            0.027749,            0.008287,            0.025109,            0.006733,            0.006733,            0.006733
                  35,            0.038628,            0.014309,            0.029544,             0.60733,             0.61352,             0.67199,             0.36632,            0.028187,            0.008343,            0.024523,            0.006634,            0.006634,            0.006634
                  36,             0.03723,            0.015102,            0.032571,             0.66606,             0.62925,             0.71659,              0.4148,            0.031175,           0.0081913,            0.023805,            0.006535,            0.006535,            0.006535
                  37,            0.039887,            0.012592,             0.03139,             0.77645,             0.66105,             0.79272,             0.49312,            0.025018,           0.0079634,            0.023473,            0.006436,            0.006436,            0.006436
                  38,            0.040275,            0.013603,             0.03079,              0.6583,              0.6462,             0.73847,             0.44197,            0.031955,           0.0079191,            0.022832,            0.006337,            0.006337,            0.006337
                  39,             0.03909,            0.013695,            0.030739,             0.77149,             0.63006,             0.76892,             0.44388,            0.028756,           0.0080812,            0.022346,            0.006238,            0.006238,            0.006238
                  40,            0.039958,            0.014533,             0.03034,             0.82308,             0.61823,             0.79522,             0.48334,             0.02438,           0.0079326,            0.022152,            0.006139,            0.006139,            0.006139
                  41,            0.038645,            0.012723,            0.032663,             0.68399,             0.60677,             0.68425,             0.33811,            0.033291,           0.0079447,             0.02149,             0.00604,             0.00604,             0.00604
                  42,            0.037381,             0.01423,            0.030728,             0.82569,             0.65968,             0.78151,             0.49432,             0.02546,           0.0073696,            0.020976,            0.005941,            0.005941,            0.005941
                  43,              0.0359,             0.01366,            0.028309,             0.86768,             0.65959,             0.79173,             0.51731,            0.023846,           0.0072608,             0.02084,            0.005842,            0.005842,            0.005842
                  44,            0.039346,            0.012841,             0.03019,             0.81731,             0.66003,              0.7747,             0.48454,            0.027716,            0.007133,            0.020359,            0.005743,            0.005743,            0.005743
                  45,            0.036339,            0.013567,            0.028543,             0.77625,              0.6341,             0.75875,             0.47761,            0.025613,           0.0071323,            0.019765,            0.005644,            0.005644,            0.005644
                  46,            0.037787,            0.012334,            0.028744,             0.82334,             0.65929,              0.7829,             0.51245,            0.025514,           0.0071969,            0.019608,            0.005545,            0.005545,            0.005545
                  47,            0.040919,            0.013702,             0.03003,             0.78982,             0.68853,             0.79208,             0.45724,            0.027549,           0.0072579,             0.01908,            0.005446,            0.005446,            0.005446
                  48,            0.038177,             0.01369,            0.027242,             0.85467,             0.69292,             0.79438,             0.54629,            0.022593,           0.0070437,            0.018735,            0.005347,            0.005347,            0.005347
                  49,            0.034844,            0.013456,            0.028224,             0.79795,             0.68244,             0.75754,             0.42755,            0.027139,           0.0069465,            0.018306,            0.005248,            0.005248,            0.005248
                  50,            0.037458,            0.013921,            0.027275,             0.88945,             0.67976,             0.81619,             0.56527,            0.021531,           0.0068239,             0.01791,            0.005149,            0.005149,            0.005149
                  51,            0.034746,             0.01189,            0.026941,             0.79511,             0.70861,             0.80487,             0.54366,             0.02691,            0.006866,            0.017433,             0.00505,             0.00505,             0.00505
                  52,            0.035788,            0.013719,            0.025755,             0.88403,             0.71082,             0.84434,             0.51675,            0.025375,           0.0068057,            0.016878,            0.004951,            0.004951,            0.004951
                  53,            0.035079,            0.012298,            0.027107,             0.89464,              0.6919,             0.84036,             0.52246,            0.024787,           0.0067581,            0.016661,            0.004852,            0.004852,            0.004852
